MI,FT,BI Data Analyst,98000,USD,98000,M
MI,FT,Data Engineer,48000,GBP,66400,S
MI,FT,Research Scientist,48000,EUR,57217,S
MI,FT,Machine Learning Engineer,21000,EUR,25032,L
SE,FT,Data Analytics Manager,120000,USD,120000,L
MI,FL,Data Engineer,20000,USD,20000,L
EX,FT,Director of Data Science,325000,USD,325000,L
SE,FT,Machine Learning Engineer,200000,USD,200000,L
EN,FT,AI Scientist,300000,DKK,45896,S
MI,FT,Data Scientist,160000,USD,160000,L
SE,FT,Research Scientist,50000,USD,50000,S
MI,FT,Data Science Engineer,34000,EUR,40529,M
EX,FT,Principal Data Engineer,600000,USD,600000,L
MI,FT,Data Scientist,69600,BRL,13000,S
SE,FT,Data Engineer,165000,USD,165000,M
EN,FT,Big Data Engineer,435000,INR,5898,L
MI,FT,Data Scientist,37000,EUR,42197,S
SE,FT,Principal Data Engineer,185000,USD,185000,L
EN,FT,Data Scientist,55000,EUR,62726,S
MI,FT,Data Scientist,76760,EUR,91500,L
EN,PT,Data Scientist,19000,EUR,21669,S
MI,FT,Data Engineer,110000,USD,110000,L
SE,FT,Data Analytics Manager,140000,USD,140000,L
SE,FT,Data Scientist,120000,USD,120000,L
SE,FT,Data Scientist,110000,CAD,87961,S
SE,FT,Finance Data Analyst,45000,GBP,62250,L
MI,FL,Machine Learning Scientist,12000,USD,12000,M
SE,FT,Data Engineer,65000,EUR,77481,S
MI,FT,Machine Learning Engineer,74000,USD,74000,S
SE,FT,Data Science Manager,152000,USD,152000,L
MI,FT,Big Data Engineer,18000,USD,18000,S
SE,FL,Computer Vision Engineer,60000,USD,60000,S
MI,FT,Data Scientist,130000,USD,130000,L
SE,FT,Computer Vision Engineer,102000,BRL,19052,M
EN,FT,Business Data Analyst,50000,EUR,59601,L
SE,FT,Principal Data Scientist,147000,EUR,175228,M
SE,FT,Principal Data Scientist,130000,EUR,148261,M
MI,FT,Data Scientist,34000,EUR,38776,M
MI,FT,Data Scientist,39600,EUR,47204,M
EN,FT,Data Scientist,4000,USD,4000,M
EN,FT,AI Scientist,1335000,INR,18102,S
SE,FT,Data Scientist,80000,EUR,91237,S
MI,FT,Data Scientist,55000,EUR,62726,S
MI,FT,Data Scientist,115000,USD,115000,L
SE,FT,Principal Data Scientist,235000,USD,235000,L
MI,FT,Lead Data Analyst,1450000,INR,19661,L
EN,PT,AI Scientist,12000,USD,12000,S
MI,FT,Data Analyst,75000,USD,75000,L
MI,FT,Data Analyst,62000,USD,62000,L
MI,FT,Data Scientist,73000,USD,73000,L
MI,FT,Data Engineer,38400,EUR,45773,L
SE,FT,Data Science Manager,190200,USD,190200,M
MI,FT,Data Scientist,118000,USD,118000,M
MI,FT,Data Scientist,138350,USD,138350,M
MI,FT,Data Engineer,130800,USD,130800,M
SE,FT,Machine Learning Engineer,40000,EUR,45618,S
SE,FT,Director of Data Science,168000,USD,168000,S
MI,FT,Data Scientist,160000,SGD,119353,M
MI,FT,Applied Machine Learning Scientist,423000,USD,423000,L
MI,FT,Data Engineer,24000,EUR,28608,L
SE,FT,Data Specialist,165000,USD,165000,L
SE,FT,Data Scientist,412000,USD,412000,L
MI,FT,Principal Data Scientist,151000,USD,151000,L
EN,FT,Data Scientist,105000,USD,105000,S
EN,CT,Business Data Analyst,100000,USD,100000,L
SE,FT,Data Science Manager,7000000,INR,94917,L
